HOLEID,FROM,TO,LITH
DH-116,5,10,GnP
DH-116,10,15,GnP
DH-116,15,20,GnP
DH-116,20,25,GnP
DH-116,25,30,MzP
DH-116,30,35,MzP
DH-116,35,40,MzP
DH-116,40,45,MzP
DH-116,45,50,MzP
DH-116,50,55,MzP
DH-116,55,60,MzP
DH-116,60,65,MzP
DH-116,65,70,MzP
DH-116,70,75,MzP
DH-116,75,80,MzP
DH-116,80,85,MzP
DH-116,85,90,MzP
DH-116,90,95,MzP
DH-116,95,100,MzP
DH-116,100,105,MzP
DH-116,107.05,112.05,MzP
DH-116,112.05,117.05,MzP
DH-116,117.05,122.05,MzP
DH-116,122.05,127.05,MzP
DH-116,127.05,132.05,MzP
DH-117,0,5,TnP
DH-117,5,10,TnP
DH-117,10,15,TnP
DH-117,15,20,TnP
DH-117,20,25,TnP
DH-117,25,30,GnP
DH-117,30,35,GnP
DH-117,35,40,GnP
DH-117,40,45,GnP
DH-117,45,50,GnP
DH-117,50,55,GnP
DH-117,55,60,GnP
DH-117,60,65,MzP
DH-117,65,70,MzP
DH-117,70,75,MzP
DH-117,75,80,MzP
DH-117,80,85,MzP
DH-117,85,90,MzP
DH-117,90,94.85,MzP
DH-117,97.6,102.6,MzP
DH-117,102.6,107.6,MzP
DH-117,107.6,112.6,MzP
DH-117,112.6,117.6,MzP
DH-117,117.6,122.6,MzP
DH-117,122.6,127.6,MzP
DH-118,0,5,TnP
DH-118,5,10,TnP
DH-118,10,15,TnP
DH-118,15,20,TnP
DH-118,23.35,28.35,GnP
DH-118,28.35,33.35,GnP
DH-118,33.35,38.35,GnP
DH-118,38.35,43.35,GnP
DH-118,43.35,48.35,GnP
DH-118,48.35,53.35,GnP
DH-118,53.35,58.35,GnP
DH-118,58.35,63.35,GnP
DH-118,63.35,68.35,MzP
DH-118,68.35,73.35,MzP
DH-118,78.6,83.6,MzP
DH-118,83.6,88.6,MzP
DH-118,88.6,93.6,MzP
DH-118,93.6,98.6,MzP
DH-118,98.6,103.6,MzP
DH-118,103.6,108.6,MzP
DH-118,108.6,113.6,MzP
DH-118,113.6,118.6,MzP
DH-118,118.6,123.6,MzP
DH-118,123.6,128.6,MzP
DH-118,128.6,131.7,MzP
DH-119,0,5,TnP
DH-119,5,8.7,TnP
DH-119,20.3,25.3,TnP
DH-119,25.3,28.3,TnP
DH-119,31.25,36.25,GnP
DH-119,36.25,41.25,GnP
DH-119,41.25,44.4,GnP
DH-119,47.7,52.7,GnP
DH-119,52.7,57.7,GnP
DH-119,57.7,62.3,GnP
DH-119,76.1,81.1,MzP
DH-119,88.2,91.4,MzP
DH-119,96.6,101.6,MzP
DH-119,101.6,106.6,MzP
DH-119,106.6,111.6,MzP
DH-119,111.6,116.2,MzP
DH-119,126.1,131.1,MzP
DH-119,131.1,136.1,MzP
DH-120,0,3.25,TnP
DH-120,47.05,49.8,GnP
DH-120,66.75,71,GnP
DH-121,0,5,TnP
DH-121,5,10,TnP
DH-121,10,15,TnP
DH-121,15,20,TnP
DH-121,20,25,GnP
DH-121,25,30,GnP
DH-121,30,35,GnP
DH-121,35,40,GnP
DH-121,40,45,GnP
DH-121,45,50,GnP
DH-121,50,55,GnP
DH-121,55,60,GnP
DH-121,60,65,MzP
DH-121,65,70,MzP
DH-121,70,75,MzP
DH-121,75,80,MzP
DH-121,88.1,93.1,MzP
DH-121,93.1,98.1,MzP
DH-121,98.1,103.1,MzP
DH-121,103.1,108.1,MzP
DH-121,108.1,113.1,MzP
DH-121,113.1,118.1,MzP
DH-121,118.1,123.1,MzP
DH-121,123.1,128.1,MzP
DH-121,128.1,133.1,MzP
DH-121,133.1,138.1,MzP
DH-121,138.1,143.1,MzP
DH-121,143.1,148.1,MzP
DH-121,148.1,150.8,MzP
DH-122,0,5,TnP
DH-122,5,10,TnP
DH-122,10,15,TnP
DH-122,15,20,GnP
DH-122,20,25,GnP
DH-122,25,30,GnP
DH-122,30,35,GnP
DH-122,35,40,GnP
DH-122,40,45,GnP
DH-122,45,50,GnP
DH-122,50,55,MzP
DH-122,55,60,MzP
DH-122,60,65,MzP
DH-122,65,70,MzP
DH-122,70,75,MzP
DH-122,75,80,MzP
DH-122,80,85,MzP
DH-122,85,90,MzP
DH-122,90,95,MzP
DH-122,95,100,MzP
DH-122,100,103.3,MzP
DH-122,105.65,110.65,MzP
DH-122,110.65,115.65,MzP
DH-122,130.45,135.45,MzP
DH-122,135.45,140.45,MzP
DH-122,140.45,145.45,MzP
DH-122,150.4,153.7,MzP
DH-123,0,5,TnP
DH-123,13,18,TnP
DH-123,34.85,39.85,GnP
DH-123,39.85,44.85,GnP
DH-123,44.85,49.85,GnP
DH-123,49.85,54.85,MzP
DH-123,54.85,59.85,MzP
DH-123,59.85,64.85,MzP
DH-123,64.85,69.85,MzP
DH-123,69.85,74.85,MzP
DH-123,74.85,79.85,MzP
DH-123,79.85,84.85,MzP
DH-123,84.85,89.85,MzP
DH-123,89.85,94.85,MzP
DH-123,108.4,112.85,MzP
DH-124,0,5,TnP
DH-124,5,10,GnP
DH-124,10,15,GnP
DH-124,15,18.3,GnP
DH-124,61.7,66.7,MzP
DH-124,66.7,71.7,MzP
DH-124,71.7,76.7,MzP
DH-124,76.7,81.7,MzP
DH-124,81.7,86.7,MzP
DH-124,86.7,91.7,MzP
DH-124,91.7,96.7,MzP
DH-124,96.7,101.7,MzP
DH-124,101.7,105,MzP
DH-124,121.9,126.3,MzP
DH-125,0,5,GnP
DH-125,11.9,16.9,MzP
DH-125,16.9,21.9,MzP
DH-125,33.85,37.75,MzP
DH-125,44.2,49.2,MzP
DH-125,49.2,54.2,MzP
DH-125,54.2,58.45,MzP
DH-125,71.9,74.45,MzP
DH-125,99,101.75,MzP
DH-125,107.55,110.95,MzP
DH-126,0,5,GnP
DH-126,42.7,47.7,MzP
DH-126,47.7,52.7,MzP
DH-126,52.7,57.55,MzP
DH-126,96.25,99.8,MzP
DH-127,0,3.2,GnP
DH-127,28.35,30.9,MzP
DH-127,35.1,39.35,MzP
DH-127,84.35,89.35,MzP
