HOLEID,FROM,TO,CU
DH-123,69.85,74.85,2.11
DH-123,74.85,79.85,1.98
DH-123,79.85,84.85,2.08
DH-123,84.85,89.85,1.74
DH-123,89.85,94.85,0.81
DH-123,108.4,112.85,0.56
DH-124,0,5,0.87
DH-124,5,10,1.01
DH-124,10,15,1.37
DH-124,15,18.3,1.21
DH-124,61.7,66.7,0.69
DH-124,66.7,71.7,2.23
DH-124,71.7,76.7,1.55
DH-124,76.7,81.7,0.94
DH-124,81.7,86.7,0.62
DH-124,86.7,91.7,0.6
DH-124,91.7,96.7,0.83
DH-124,96.7,101.7,0.75
DH-124,101.7,105,0.52
DH-124,121.9,126.3,0.57
DH-125,0,5,2.2
DH-125,11.9,16.9,0.57
DH-125,16.9,21.9,0.64
DH-125,33.85,37.75,1.15
DH-125,44.2,49.2,1.38
DH-125,49.2,54.2,1.68
DH-125,54.2,58.45,1.18
DH-125,71.9,74.45,1.03
DH-125,99,101.75,0.99
DH-125,107.55,110.95,1.2
DH-126,0,5,0.5
DH-126,42.7,47.7,0.98
DH-126,47.7,52.7,1.09
DH-126,52.7,57.55,1.24
DH-126,96.25,99.8,0.76
DH-127,0,3.2,1.66
DH-127,28.35,30.9,1.37
DH-127,35.1,39.35,0.72
DH-127,84.35,89.35,0.67
